201,Гусев,Калининградская область,28 484,28 307,28 300,28 257,28 204,28 511,28 508,28 534,28 542,28 300,28 260
202,Шумерля,Чувашия,28 356,28 647,29 071,29 553,29 954,30 347,30 536,30 798,31 101,31 700,31 722
203,Тара,Омская область,28 241,27 975,28 099,28 116,28 012,27 922,27 839,27 740,27 641,27 273,27 318
204,Петровск,Саратовская область,28 237,28 490,28 893,29 376,29 820,30 037,30 147,30 441,30 744,31 176,31 160
205,Карталы,Челябинская область,28 227,28 442,28 607,28 577,28 697,28 703,28 757,28 763,28 875,29 095,29 131
206,Еманжелинск,Челябинская область,28 216,28 217,28 742,29 077,29 487,29 728,29 931,30 252,30 256,30 220,30 216
207,Заречный,Свердловская область,27 898,27 795,27 595,27 617,27 608,27 619,27 351,27 115,26 900,26 800,26 820
208,Похвистнево,Самарская область,27 895,28 044,28 177,28 223,28 150,28 140,28 127,28 080,28 019,28 200,28 169
209,Малоярославец,Калужская область,27 795,27 411,27 448,27 791,28 058,28 401,28 955,29 503,29 953,30 297,30 392
210,Топки,Кемеровская область,27 779,27 639,27 860,27 963,28 144,28 129,28 044,28 217,28 421,28 571,28 641
211,Старая Русса,Новгородская область,27 739,28 043,28 483,29 019,29 489,29 728,29 979,30 371,30 901,31 800,31 809
212,Кушва,Свердловская область,27 241,27 624,28 060,28 409,28 819,29 131,29 323,29 541,29 803,30 200,30 167
213,Десногорск,Смоленская область,27 225,27 322,27 771,28 103,28 293,28 517,28 728,29 102,29 383,29 700,31 100
214,Удомля,Тверская область,27 186,27 641,28 119,28 669,28 864,28 972,29 405,29 911,30 407,31 100,31 061
215,Холмск,Сахалинская область,27 148,27 479,27 954,28 217,28 521,28 751,28 979,29 563,30 143,30 817,30 937
216,Сорочинск,Оренбургская область,27 088,27 164,27 547,27 912,28 136,28 367,28 549,28 728,28 988,29 200,29 249
217,Семилуки,Воронежская область,27 036,26 805,26 732,26 797,26 721,26 617,26 505,26 391,26 027,26 000,26 023
218,Соль-Илецк,Оренбургская область,26 923,26 978,27 085,27 189,27 306,27 279,27 338,27 748,27 978,28 400,28 377
219,Кировск,Ленинградская область,26 887,26 683,26 387,25 978,25 691,25 705,25 409,25 706,25 491,25 700,25 650
220,Карасук,Новосибирская область,26 820,26 673,26 902,27 196,27 332,27 650,28 074,28 415,28 451,28 600,28 586
221,Верхний Уфалей,Челябинская область,26 716,26 885,27 498,27 879,28 267,28 580,29 096,29 518,29 976,30 434,30 481
222,Киржач,Владимирская область,26 703,26 331,26 676,27 157,27 439,27 788,28 160,28 699,29 192,29 917,29 965
223,Знаменск,Астраханская область,26 701,27 071,26 927,26 934,27 202,27 208,27 021,27 526,28 576,29 400,29 401
224,Бахчисарай,Крым[комм. 1],26 680,26 572,26 874,27 188,27 351,27 450,27 448,26 482,26 363,26 215,26 144
225,Майский,Кабардино-Балкария,26 652,26 945,27 074,27 055,26 831,26 683,26 493,26 558,26 757,26 800,26 755
226,Курчалой,Чечня,26 581,26 115,25 672,25 260,24 847,24 469,23 971,23 610,23 237,,22 723
227,Заводоуковск,Тюменская область,26 542,26 195,26 048,26 006,25 728,25 408,25 278,25 316,25 340,25 600,25 647
228,Новоалександровск,Ставропольский край,26 518,26 761,26 997,27 009,27 067,26 894,26 876,26 892,26 817,26 739,26 757
229,Киреевск,Тульская область,26 341,26 217,25 741,24 642,24 859,24 911,25 073,25 174,25 393,25 600,25 557
230,Октябрьск,Самарская область,26 306,26 512,26 438,26 478,26 550,26 681,26 909,27 086,27 152,27 230,27 244
231,Красноармейск,Московская область,26 300,26 463,26 519,26 608,26 660,26 594,26 641,26 666,26 590,26 300,26 294
232,Лабытнанги,Ямало-Ненецкий АО,26 295,26 211,26 122,26 281,26 331,26 549,26 359,26 279,26 572,26 898,26 936
233,Дятьково,Брянская область,26 161,26 483,26 775,27 028,27 155,27 535,27 773,28 141,28 739,29 400,29 439
234,Новопавловск,Ставропольский край,26 062,26 106,26 238,26 234,26 295,26 221,26 293,26 312,26 480,26 559,26 562
